"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1479","E[991]",2.2084615135,2.19926,0.301048015201049,0.298632705,1.7271555,2.7139925,1.00007753581996,41641.5651627923,26481.4186913838
"1480","E[992]",2.21377352675,2.207865,0.300681213108148,0.298588227,1.734086,2.717702,1.00008636665441,40839.9260907074,25432.7880172028
"1481","E[993]",2.2244877605,2.21553,0.299008417712522,0.297328017,1.747584,2.7303435,1.00003609756887,40892.8623854564,27679.9859028048
"1482","E[994]",2.153900282275,2.14633,0.298763635862699,0.296949954,1.674708,2.655867,1.00003296261374,41034.4853160369,25799.0044983619
"1483","E[995]",2.168827137625,2.16022,0.297944783228015,0.296712738,1.6973995,2.6712025,1.00010853736037,40847.2117600431,26493.591506162
"1484","E[996]",2.150848654775,2.142095,0.298597484397334,0.297357668999999,1.6778895,2.6548,1.00005784983014,40412.6390809372,25922.4796567672
"1485","E[997]",3.264262796525,3.222185,0.729675884471934,0.720484296,2.142529,4.537267,1.00023098627797,63869.3955779019,29857.1702086706
"1486","E[998]",2.500720219025,2.46993,0.625362735698098,0.617443596,1.523858,3.581924,1.00011581024435,61543.5838327578,28649.795235984
"1487","E[999]",3.6734560015,3.665555,0.340442205698034,0.338299668,3.1299185,4.243348,1.00008367474748,38699.6657459714,29847.4215013473
"1488","E[1000]",3.6875224795,3.676145,0.324110770406777,0.323688645,3.1742485,4.238901,1.0001466490208,42789.6898996889,29888.3799781581
"1489","E[1001]",3.69283449575,3.680585,0.32286457288526,0.319381692,3.1799885,4.241796,1.00002314456031,42557.1811177177,28651.623165384
"1490","E[1002]",3.70354869975,3.69021,0.324943424131246,0.323666406,3.1903295,4.2585795,1.00002615832258,41768.5526676414,29918.2741518591
"1491","E[1003]",3.63543685925,3.624725,0.326998295667145,0.324785769,3.1184175,4.195404,1.00009852207468,41916.9940031037,29425.6692174988
"1492","E[1004]",3.63757093775,3.627155,0.32803362273241,0.327335841,3.1180655,4.196831,1.00007678955017,42715.8133954868,29988.5319013616
"1493","E[1005]",3.36071346775,3.320825,0.677119650541491,0.673241247,2.3167735,4.535302,1.00005340794522,66566.5336170315,28564.056925316
"1494","E[1006]",4.0075041135,3.969485,0.571143980036363,0.567109326,3.1336635,5.005926,1.0000220821507,65470.2049270861,32043.6454305251
"1495","E[1007]",1.91125843959867,1.8953,0.804934004416232,0.800374197,0.61494045,3.261155,1.00006299343852,35028.8251528871,32563.6132702242
"1496","E[1008]",2.9317573792,2.896215,0.660029563072129,0.658066836,1.906905,4.076018,1.00018523139718,68036.8316962831,32450.5069650242
"1497","E[1009]",2.64207485555,2.612785,0.540272165141191,0.534366105,1.8075885,3.574368,0.999981378068894,67942.2088526172,30346.461151121
"1498","E[1010]",2.436345816975,2.41003,0.557003076326344,0.549503451,1.5659095,3.3944405,0.999987385134887,60144.7048603651,31529.6554960608
"1499","E[1011]",2.48777118223015,2.45002,0.721995454004581,0.713182491,1.371158,3.7285715,1.00003631989725,64519.6906497123,29113.516213581
"1500","E[1012]",3.53492194325,3.49314,0.684959354627775,0.680861811,2.4848045,4.719696,1.00009803861414,68096.9947129555,26545.6056738989
"1501","E[1013]",3.63691541375,3.62912,0.267153517248881,0.262694481,3.2114275,4.089523,1.00009671372694,39785.0611739112,29178.631953912
"1502","E[1014]",3.40330898125,3.40038,0.27166423891814,0.266489937,2.9603985,3.8562415,1.00002932272494,36799.4429821024,27811.1848763544
"1503","E[1015]",3.37825229325,3.3765,0.267102325300049,0.262879806,2.9421675,3.8219875,1.00003533059067,36577.1383669293,26709.2940595334
"1504","E[1016]",3.4654880985,3.45807,0.251644295027723,0.247749873,3.06403,3.8894415,1.00004142594006,41585.1821953235,27353.2282545132
"1505","E[1017]",3.47080011225,3.46313,0.251567810019308,0.246756531,3.068817,3.898821,1.00015958815192,40510.4845887595,28023.3982576945
"1506","E[1018]",3.481514329,3.47368,0.249002826408213,0.24448074,3.0849265,3.906056,1.00005485518968,40970.8154647694,27419.6161867679
"1507","E[1019]",3.4109269035,3.404645,0.249546917073939,0.245911449,3.0128885,3.8342505,1.0001782146931,41399.6745746625,26598.4301132253
"1508","E[1020]",3.42585372525,3.419835,0.249277572380383,0.245844732,3.0278085,3.849251,1.00008221496675,41386.1298929887,26695.0303808379
"1509","E[1021]",3.40787522825,3.401095,0.25037997878544,0.245896623,3.007133,3.8311425,1.00010479143139,41501.5047592551,26887.5900966676
