"common_name","sp_id","spqrt_standard"
"Brown-headed Nuthatch",12,515
"Brown-headed Nuthatch",12,516
"Brown-headed Nuthatch",12,517
"Brown-headed Nuthatch",12,518
"Brown-headed Nuthatch",12,519
"Brown-headed Nuthatch",12,520
"Brown-headed Nuthatch",12,521
"Brown-headed Nuthatch",12,522
"Brown-headed Nuthatch",12,523
"Brown-headed Nuthatch",12,524
"Brown-headed Nuthatch",12,525
"Brown-headed Nuthatch",12,526
"Brown-headed Nuthatch",12,527
"Brown-headed Nuthatch",12,528
"Brown-headed Nuthatch",12,529
"Brown-headed Nuthatch",12,530
"Brown-headed Nuthatch",12,531
"Brown-headed Nuthatch",12,532
"Brown-headed Nuthatch",12,533
"Brown-headed Nuthatch",12,534
"Brown-headed Nuthatch",12,535
"Brown-headed Nuthatch",12,536
"Carolina Chickadee",13,537
"Carolina Chickadee",13,538
"Carolina Chickadee",13,539
"Carolina Chickadee",13,540
"Carolina Chickadee",13,541
"Carolina Chickadee",13,542
"Carolina Chickadee",13,543
"Carolina Chickadee",13,544
"Carolina Chickadee",13,545
"Carolina Chickadee",13,546
"Carolina Chickadee",13,547
"Carolina Chickadee",13,548
"Carolina Chickadee",13,549
"Carolina Chickadee",13,550
"Carolina Chickadee",13,551
"Carolina Chickadee",13,552
"Carolina Chickadee",13,553
"Carolina Chickadee",13,554
"Carolina Chickadee",13,555
"Carolina Chickadee",13,556
"Carolina Chickadee",13,557
"Carolina Chickadee",13,558
"Carolina Chickadee",13,559
"Carolina Chickadee",13,560
"Carolina Chickadee",13,561
"Carolina Chickadee",13,562
"Carolina Chickadee",13,563
"Carolina Chickadee",13,564
"Carolina Chickadee",13,565
"Carolina Chickadee",13,566
"Carolina Chickadee",13,567
"Carolina Chickadee",13,568
"Carolina Chickadee",13,569
"Carolina Chickadee",13,570
"Carolina Chickadee",13,571
"Carolina Chickadee",13,572
"Carolina Chickadee",13,573
"Carolina Chickadee",13,574
"Carolina Chickadee",13,575
"Carolina Chickadee",13,576
"Carolina Chickadee",13,577
"Carolina Chickadee",13,578
"Carolina Chickadee",13,579
"Carolina Chickadee",13,580
"Carolina Chickadee",13,581
"Carolina Chickadee",13,582
"Carolina Chickadee",13,583
"Carolina Chickadee",13,584
"Carolina Chickadee",13,585
"Carolina Chickadee",13,586
"Carolina Chickadee",13,587
"Carolina Chickadee",13,588
"Carolina Chickadee",13,589
"Carolina Chickadee",13,590
"Carolina Chickadee",13,591
"Carolina Chickadee",13,592
"Carolina Wren",14,593
"Carolina Wren",14,594
"Carolina Wren",14,595
"Carolina Wren",14,596
"Carolina Wren",14,597
"Carolina Wren",14,598
"Carolina Wren",14,599
"Carolina Wren",14,600
"Carolina Wren",14,601
"Carolina Wren",14,602
"Carolina Wren",14,603
"Carolina Wren",14,604
"Carolina Wren",14,605
"Carolina Wren",14,606
"Carolina Wren",14,607
"Carolina Wren",14,608
"Carolina Wren",14,609
"Carolina Wren",14,610
"Carolina Wren",14,611
"Carolina Wren",14,612
"Carolina Wren",14,613
"Carolina Wren",14,614
"Carolina Wren",14,615
"Carolina Wren",14,616
"Carolina Wren",14,617
"Carolina Wren",14,618
"Carolina Wren",14,619
"Carolina Wren",14,620
"Carolina Wren",14,621
"Carolina Wren",14,622
"Carolina Wren",14,623
"Carolina Wren",14,624
"Carolina Wren",14,625
"Carolina Wren",14,626
"Carolina Wren",14,627
"Carolina Wren",14,628
"Carolina Wren",14,629
"Carolina Wren",14,630
"Carolina Wren",14,631
"Carolina Wren",14,632
"Carolina Wren",14,633
"Carolina Wren",14,634
"Carolina Wren",14,635
"Carolina Wren",14,636
"Carolina Wren",14,637
"Carolina Wren",14,638
"Carolina Wren",14,639
"Carolina Wren",14,640
"Carolina Wren",14,641
"Carolina Wren",14,642
"Carolina Wren",14,643
"Carolina Wren",14,644
"Carolina Wren",14,645
"Carolina Wren",14,646
"Carolina Wren",14,647
"Carolina Wren",14,648
"Carolina Wren",14,649
"Chimney Swift",15,650
"Chimney Swift",15,651
"Chimney Swift",15,652
"Chimney Swift",15,653
"Chimney Swift",15,654
"Chimney Swift",15,655
"Chimney Swift",15,656
"Chimney Swift",15,657
"Chimney Swift",15,658
"Chimney Swift",15,659
"Chimney Swift",15,660
"Chimney Swift",15,661
"Chimney Swift",15,662
"Chimney Swift",15,663
"Chimney Swift",15,664
"Chimney Swift",15,665
"Chimney Swift",15,666
"Chimney Swift",15,667
"Chimney Swift",15,668
"Chimney Swift",15,669
"Chimney Swift",15,670
"Chimney Swift",15,671
"Chimney Swift",15,672
"Chimney Swift",15,673
"Chimney Swift",15,674
"Chimney Swift",15,675
"Chimney Swift",15,676
"Chimney Swift",15,677
"Chimney Swift",15,678
"Chimney Swift",15,679
"Chimney Swift",15,680
"Chimney Swift",15,681
"Chimney Swift",15,682
"Chimney Swift",15,683
"Chimney Swift",15,684
"Chimney Swift",15,685
"Chimney Swift",15,686
"Chimney Swift",15,687
"Chimney Swift",15,688
"Chimney Swift",15,689
"Chimney Swift",15,690
"Chimney Swift",15,691
"Chimney Swift",15,692
"Chimney Swift",15,693
"Chimney Swift",15,694
"Chimney Swift",15,695
"Chimney Swift",15,696
"Chimney Swift",15,697
"Chimney Swift",15,698
"Chipping Sparrow",16,699
"Chipping Sparrow",16,700
"Chipping Sparrow",16,701
"Chipping Sparrow",16,702
"Chipping Sparrow",16,703
"Chipping Sparrow",16,704
"Chipping Sparrow",16,705
"Chipping Sparrow",16,706
"Chipping Sparrow",16,707
"Chipping Sparrow",16,708
"Chipping Sparrow",16,709
"Chipping Sparrow",16,710
"Chipping Sparrow",16,711
"Chipping Sparrow",16,712
"Chipping Sparrow",16,713
"Chipping Sparrow",16,714
"Chipping Sparrow",16,715
"Chipping Sparrow",16,716
"Chipping Sparrow",16,717
"Chipping Sparrow",16,718
"Chipping Sparrow",16,719
"Chipping Sparrow",16,720
"Chipping Sparrow",16,721
"Chipping Sparrow",16,722
"Chipping Sparrow",16,723
"Chipping Sparrow",16,724
"Chipping Sparrow",16,725
"Chipping Sparrow",16,726
"Chipping Sparrow",16,727
"Chipping Sparrow",16,728
"Chipping Sparrow",16,729
"Chipping Sparrow",16,730
"Chipping Sparrow",16,731
"Chipping Sparrow",16,732
"Chipping Sparrow",16,733
"Chipping Sparrow",16,734
"Chipping Sparrow",16,735
"Chipping Sparrow",16,736
"Chipping Sparrow",16,737
"Chipping Sparrow",16,738
"Chipping Sparrow",16,739
"Chipping Sparrow",16,740
"Chipping Sparrow",16,741
"Chipping Sparrow",16,742
"Chipping Sparrow",16,743
"Chipping Sparrow",16,744
"Chipping Sparrow",16,745
"Chipping Sparrow",16,746
"Chipping Sparrow",16,747
"Chipping Sparrow",16,748
"Chipping Sparrow",16,749
"Chipping Sparrow",16,750
"Chipping Sparrow",16,751
"Chipping Sparrow",16,752
"Chipping Sparrow",16,753
"Chipping Sparrow",16,754
"Chipping Sparrow",16,755
"Common Grackle",17,756
"Common Grackle",17,757
"Common Grackle",17,758
"Common Grackle",17,759
"Common Grackle",17,760
"Common Grackle",17,761
"Common Grackle",17,762
