"file","spp_name","file_binomial","aou","english_common_name","family","genus","binomial","old_genus","new_binomial","matched_filename","species_code","mig_dist_m"
"Myiarchus_tyrannulus_22700436.shp","Myiarchus_tyrannulus","Myiarchus tyrannulus",4530,"Brown-crested Flycatcher","Tyrannidae","Myiarchus","Myiarchus tyrannulus",NA,NA,"Myiarchus_tyrannulus",NA,435836.864804958
"Pitangus_sulphuratus_22700605.shp","Pitangus_sulphuratus","Pitangus sulphuratus",4490,"Great Kiskadee","Tyrannidae","Pitangus","Pitangus sulphuratus",NA,NA,"Pitangus_sulphuratus",NA,0
"Myiodynastes_luteiventris_22700580.shp","Myiodynastes_luteiventris","Myiodynastes luteiventris",4510,"Sulphur-bellied Flycatcher","Tyrannidae","Myiodynastes","Myiodynastes luteiventris",NA,NA,"Myiodynastes_luteiventris",NA,3742166.69713737
"Tyrannus_melancholicus_22700485.shp","Tyrannus_melancholicus","Tyrannus melancholicus",4460,"Tropical Kingbird","Tyrannidae","Tyrannus","Tyrannus melancholicus",NA,NA,"Tyrannus_melancholicus",NA,302912.273630876
"Tyrannus_couchii_22700488.shp","Tyrannus_couchii","Tyrannus couchii",4461,"Couch's Kingbird","Tyrannidae","Tyrannus","Tyrannus couchii",NA,NA,"Tyrannus_couchii",NA,115944.563138164
"Tyrannus_vociferans_22700491.shp","Tyrannus_vociferans","Tyrannus vociferans",4480,"Cassin's Kingbird","Tyrannidae","Tyrannus","Tyrannus vociferans",NA,NA,"Tyrannus_vociferans",NA,632925.90363747
"Tyrannus_crassirostris_22700494.shp","Tyrannus_crassirostris","Tyrannus crassirostris",4451,"Thick-billed Kingbird","Tyrannidae","Tyrannus","Tyrannus crassirostris",NA,NA,"Tyrannus_crassirostris",NA,319958.616447905
"Tyrannus_verticalis_22700497.shp","Tyrannus_verticalis","Tyrannus verticalis",4470,"Western Kingbird","Tyrannidae","Tyrannus","Tyrannus verticalis",NA,NA,"Tyrannus_verticalis",NA,3169513.49936791
"Tyrannus_tyrannus_22700506.shp","Tyrannus_tyrannus","Tyrannus tyrannus",4440,"Eastern Kingbird","Tyrannidae","Tyrannus","Tyrannus tyrannus",NA,NA,"Tyrannus_tyrannus",NA,7333354.67582799
"Tyrannus_dominicensis_22700509.shp","Tyrannus_dominicensis","Tyrannus dominicensis",4450,"Gray Kingbird","Tyrannidae","Tyrannus","Tyrannus dominicensis",NA,NA,"Tyrannus_dominicensis",NA,1270420.10416768
"Tyrannus_forficatus_22700500.shp","Tyrannus_forficatus","Tyrannus forficatus",4430,"Scissor-tailed Flycatcher","Tyrannidae","Tyrannus","Tyrannus forficatus",NA,NA,"Tyrannus_forficatus",NA,2210787.16863572
"Tyrannus_savana_22700503.shp","Tyrannus_savana","Tyrannus savana",4420,"Fork-tailed Flycatcher","Tyrannidae","Tyrannus","Tyrannus savana",NA,NA,"Tyrannus_savana",NA,964355.189734707
"Lanius_ludovicianus_22705042.shp","Lanius_ludovicianus","Lanius ludovicianus",6220,"Loggerhead Shrike","Laniidae","Lanius","Lanius ludovicianus",NA,NA,"Lanius_ludovicianus",NA,638349.903827701
"Lanius_excubitor_22730627.shp","Lanius_excubitor","Lanius excubitor",6210,"Northern Shrike","Laniidae","Lanius","Lanius excubitor",NA,NA,"Lanius_excubitor",NA,2888873.70878243
"Vireo_atricapilla_22705159.shp","Vireo_atricapilla","Vireo atricapilla",6300,"Black-capped Vireo","Vireonidae","Vireo","Vireo atricapilla",NA,NA,"Vireo_atricapilla",NA,1151856.79123849
"Vireo_griseus_22705188.shp","Vireo_griseus","Vireo griseus",6310,"White-eyed Vireo","Vireonidae","Vireo","Vireo griseus",NA,NA,"Vireo_griseus",NA,1051318.24032472
"Vireo_bellii_22705156.shp","Vireo_bellii","Vireo bellii",6330,"Bell's Vireo","Vireonidae","Vireo","Vireo bellii",NA,NA,"Vireo_bellii",NA,1576075.88149224
"Vireo_vicinior_22705209.shp","Vireo_vicinior","Vireo vicinior",6340,"Gray Vireo","Vireonidae","Vireo","Vireo vicinior",NA,NA,"Vireo_vicinior",NA,706613.308574321
"Vireo_huttoni_22705182.shp","Vireo_huttoni","Vireo huttoni",6320,"Hutton's Vireo","Vireonidae","Vireo","Vireo huttoni",NA,NA,"Vireo_huttoni",NA,0
