"spp","matched_filename","aou","english_common_name","ssi","n_zero"
"woewar1","Helmitheros_vermivorum",6390,"Worm-eating Warbler",1.68481111347612,1
"wooscj2",NA,NA,NA,NA,0
"woothr","Hylocichla_mustelina",7550,"Wood Thrush",1.43103235611732,4
"wrenti","Chamaea_fasciata",7420,"Wrentit",1.04611315381094,2
"yebcha","Icteria_virens",6830,"Yellow-breasted Chat",0.894748928035822,5
"yebcuc","Coccyzus_americanus",3870,"Yellow-billed Cuckoo",0.921346273098217,4
"yebfly","Empidonax_flaviventris",4630,"Yellow-bellied Flycatcher",0.93946848559837,1
"yebmag","Pica_nuttalli",4760,"Yellow-billed Magpie",1.43053923219631,3
"yebsap","Sphyrapicus_varius",4020,"Yellow-bellied Sapsucker",1.03998526423884,2
"yecpar","Brotogeris_chiriri",52021,"Yellow-chevroned Parakeet",2.26609724152502,9
"yeejun","Junco_phaeonotus",5700,"Yellow-eyed Junco",1.06670266445188,1
"yehbla","Xanthocephalus_xanthocephalus",4970,"Yellow-headed Blackbird",1.85939373323674,4
"yelwar","Dendroica_petechia",6520,"Yellow Warbler",0.45701861342254,0
"yetvir","Vireo_flavifrons",6280,"Yellow-throated Vireo",1.27762789236171,4
"yetwar","Dendroica_dominica",6630,"Yellow-throated Warbler",1.13657462780458,0
