"County_Route_Stop","mbbs_county","route_num","stop_num","lat","lon","WKT"
"chatham-10-11","chatham",10,11,35.685151,-79.150835,c(1503636.28986567, 1537129.96083103)
"chatham-10-13","chatham",10,13,35.68882,-79.153637,c(1503316.42664619, 1537489.95905759)
"chatham-10-14","chatham",10,14,35.698913,-79.165924,c(1502032.35254609, 1538407.95630314)
"chatham-10-15","chatham",10,15,35.701214,-79.170651,c(1501569.6191127, 1538586.83877438)
"chatham-10-16","chatham",10,16,35.706328,-79.178572,c(1500769.46354991, 1539025.31582892)
"chatham-10-17","chatham",10,17,35.724089,-79.186482,c(1499721.15539038, 1540857.8804933)
"chatham-10-18","chatham",10,18,35.732249,-79.187493,c(1499471.13660567, 1541741.25612489)
"chatham-10-19","chatham",10,19,35.737101,-79.185359,c(1499563.85793004, 1542309.67852403)
"chatham-10-20","chatham",10,20,35.745641,-79.185047,c(1499423.09522325, 1543255.81773504)
"chatham-11-1","chatham",11,1,35.610067,-79.277234,c(1493944.96059085, 1526861.46765796)
"chatham-11-2","chatham",11,2,35.617213,-79.280087,c(1493552.69769858, 1527604.2589699)
"chatham-11-3","chatham",11,3,35.624326,-79.282354,c(1493212.9266976, 1528352.64102972)
"chatham-11-4","chatham",11,4,35.630384,-79.278142,c(1493466.53157938, 1529086.55295122)
"chatham-11-5","chatham",11,5,35.636241,-79.27303,c(1493803.55667879, 1529812.4661941)
"chatham-11-6","chatham",11,6,35.640177,-79.265754,c(1494369.42086439, 1530360.68655533)
"chatham-11-7","chatham",11,7,35.645549,-79.260014,c(1494771.30203244, 1531043.0596973)
"chatham-11-8","chatham",11,8,35.647728,-79.251628,c(1495469.58061021, 1531415.16006583)
"chatham-11-9","chatham",11,9,35.649957,-79.243551,c(1496139.51990299, 1531787.96479843)
"chatham-11-10","chatham",11,10,35.655993,-79.238861,c(1496435.36195402, 1532527.07406898)
"chatham-11-11","chatham",11,11,35.662042,-79.238741,c(1496327.14215336, 1533195.66244102)
"chatham-11-12","chatham",11,12,35.660991,-79.22949,c(1497165.07428274, 1533225.52644898)
"chatham-11-13","chatham",11,13,35.659237,-79.221114,c(1497939.53665519, 1533164.20233854)
"chatham-11-14","chatham",11,14,35.653321,-79.217613,c(1498365.18809723, 1532567.3790777)
"chatham-11-15","chatham",11,15,35.649422,-79.210774,c(1499046.13833123, 1532245.52132677)
"chatham-11-16","chatham",11,16,35.649934,-79.201461,c(1499858.90508133, 1532448.89055932)
"chatham-11-17","chatham",11,17,35.655131,-79.195402,c(1500291.88743567, 1533117.27838876)
"chatham-11-18","chatham",11,18,35.660411,-79.189171,c(1500738.34938451, 1533797.55304217)
"chatham-11-19","chatham",11,19,35.664052,-79.181776,c(1501319.85003087, 1534315.61418664)
"chatham-11-20","chatham",11,20,35.670503,-79.179763,c(1501370.50438879, 1535058.34897135)
"chatham-12-1","chatham",12,1,35.61934,-79.520667,c(1472238.57121079, 1524084.74594323)
"chatham-12-2","chatham",12,2,35.6123,-79.519864,c(1472445.57722279, 1523320.88520807)
"chatham-12-3","chatham",12,3,35.611316,-79.513973,c(1472985.64302017, 1523303.67242331)
"chatham-12-4","chatham",12,4,35.61231,-79.506445,c(1473632.26982487, 1523529.98582605)
"chatham-12-5","chatham",12,5,35.618754,-79.507419,c(1473421.5541265, 1524225.44650178)
"chatham-12-6","chatham",12,6,35.625751,-79.507858,c(1473247.47370538, 1524990.18665358)
"chatham-12-7","chatham",12,7,35.630478,-79.50084,c(1473776.66919931, 1525620.23924839)
"chatham-12-8","chatham",12,8,35.634097,-79.492706,c(1474425.89205318, 1526145.46497737)
"chatham-12-9","chatham",12,9,35.635362,-79.484652,c(1475113.53033544, 1526409.9364824)
"chatham-12-10","chatham",12,10,35.637038,-79.477247,c(1475735.79413208, 1526709.70421191)
"chatham-12-11","chatham",12,11,35.644083,-79.475305,c(1475771.04163514, 1527516.66705577)
"chatham-12-12","chatham",12,12,35.653061,-79.472714,c(1475826.17977845, 1528546.85098772)
"chatham-12-13","chatham",12,13,35.653875,-79.463584,c(1476617.43539813, 1528778.42815579)
"chatham-12-14","chatham",12,14,35.654176,-79.455471,c(1477328.71601832, 1528937.70622726)
"chatham-12-15","chatham",12,15,35.658828,-79.448449,c(1477859.13903711, 1529559.8147898)
"chatham-12-16","chatham",12,16,35.66213,-79.440104,c(1478532.60370394, 1530053.69157244)
"chatham-12-17","chatham",12,17,35.666845,-79.433407,c(1479032.91655402, 1530677.76591818)
"chatham-12-18","chatham",12,18,35.668752,-79.4242,c(1479809.49946811, 1531031.35373203)
"chatham-12-19","chatham",12,19,35.666441,-79.416244,c(1480557.4711471, 1530900.47384821)
"chatham-12-20","chatham",12,20,35.666394,-79.409569,c(1481148.24784329, 1530999.30501247)
"chatham-13-1","chatham",13,1,35.71054,-79.54496,c(1468330.9449693, 1533766.17846129)
"chatham-13-2","chatham",13,2,35.708805,-79.536187,c(1469139.42356344, 1533710.42429126)
